imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt9364406,TKKG,TKKG,2019,2019-06-06,"Adventure, Comedy, Crime",95,Germany,German,Robert Thalheim,"Rolf Kalmuczak, Peer Klehmet",Warner Bros. Film Productions Germany,"Ilyes Moutaoukkil, Lorenzo Germeno, Manuel Santos Gelke, Emma-Louise Schimpf, Mai Duong Kieu, Philipp Laude, Antoine Monot Jr., Trish Osmond, Milan Peschel, Trystan Pütter, Tom Schilling, Samuel Schneider, Laura Tonke, Luna Winter","When Willi's father is abducted and is only released for a valuable statue from his art collection, Tim is the only one who believes Willi that the police are on the wrong track. Together ...",5.7,232,,,$ 823170,,2.0,12.0
tt9364684,Borç Harç,Borç Harç,2019,2019-01-18,Comedy,90,Turkey,Turkish,Efe Hizir,"Hasan Karakus, Hande Turan",Nays Film,"Oguzhan Ugur, Melisa Akman, Burak Topaloglu, Esra Kucur, Esma Soysal, Gökçe Özyol, Cenk Durmazel, Mert Efe Günaydin, Hasan Karakus, Furkan Inanir, Berk Uçar","Murat separates from his girlfriend who made marriage plans. He makes troll news on a television channel. Murat finds himself in a great debt bog. Trying to get rid of this bog, Murat finds...",1.4,4096,,,$ 568757,,41.0,
tt9365634,O Beijo no Asfalto,O Beijo no Asfalto,2018,2018-12-01,"Crime, Drama, Romance",98,Brazil,Portuguese,Murilo Benício,"Murilo Benício, Nelson Rodrigues",,"Débora Falabella, Marcelo Flores, Stênio Garcia, Amir Haddad, Arlindo Lopes, Augusto Madeira, Fernanda Montenegro, Otávio Müller, Lázaro Ramos, Luiza Tiso","Based on the homonymous play written by Nelson Rodrigues. When witnessing a hit by a car, Arandir, a newly married bank clerk, tries to help the victim, but the man, almost dead, has only ...",7.3,188,,,,,,2.0
tt9367402,Dead Dicks,Dead Dicks,2019,2019-08-04,"Comedy, Horror, Sci-Fi",83,Canada,English,"Chris Bavota, Lee Paula Springer","Chris Bavota, Lee Paula Springer",Postal Code Films,"Heston Horwin, Jillian Harris, Matt Keyes, Kristina Sandev, Leyda Aleyli, Dave Campbell","After Becca receives a distressing call from her suicidal brother Richie, she rushes over to his apartment and finds him alive and well - surrounded by copies of his own dead body.",5.0,467,CAD 25000,,,,19.0,36.0
tt9368628,The New King of Comedy,The New King of Comedy,2019,2019-02-05,"Comedy, Drama",90,China,"Mandarin, English","Stephen Chow, Herman Yau","Stephen Chow, Ivy Kong",,"Jingwen E., Baoqiang Wang, Quandan Zhang, Ruyang Jing, Qi Zhang, Xingzhe Yuan, Pierre Bourdaud, Zherui Cai, Xiaopeng Huang, Yilun Miao, Kyle Shapiro, Kai-Man Tin, David Torok",A young woman who is dreaming and striving to pursue the actors' dream despite being an extra and stand-in.,6.2,1243,,,$ 95618308,,19.0,9.0
tt9369332,Halloween Horror Tales,Halloween Horror Tales,2018,2018-11-29,"Horror, Thriller",77,USA,English,Jeff Kirkendall,"Joe Bagnardi, Jeff Kirkendall",Very Scary Productions,"Mel Heflin, Bruce G. Hallenbeck, Deana Demko, Kathryn Sue Young, Joe Bagnardi, Haley Beauregard, Jennifer Birn, Brittany Boivin, James Carolus, Lucas Connor, Scott Danni, Marie DeLorenzo, Bob Donlon, David Lee Ford, Tim Hatch",An anthology of four horror tales.,1.8,137,,,,,7.0,4.0
tt9372116,La vérité si je mens! Les débuts,La vérité si je mens! Les débuts,2019,2019-10-16,Comedy,110,France,French,"Gérard Bitton, Michel Munz","Gérard Bitton, Michel Munz",La Vérité Production,"Yohan Manca, Mickaël Lumière, Anton Csazar, Jeremy Lewin, Audrey Dana, François Berléand, Gladys Cohen, Gilbert Melki, Ilona Bachelier, Teddy Candela, Noémie Chicheportiche, Jean-Charles Deval, Fleur Geffrier, Tatiana Gousseff, Cyril Lecomte","At the beginning of the 80s, Patrick, son of daddy casual, goes, after his first amorous failure, to become a talented entrepreneur. Dov, whose mother expects brilliant studies, leaves high...",4.5,165,,,$ 1319366,,,1.0
tt9372172,Forte,Forte,2020,2020-04-15,Comedy,95,France,French,Katia Lewkowicz,"Melha Bedia, Frédéric Hazan",Quad Productions,"Melha Bedia, Valérie Lemercier, Alison Wheeler, Bastien Ughetto, Nanou Garcia, Ramzy Bedia, Jonathan Cohen, Yasin Houicha, Oussama Kheddam, Lionel Lingelser, Wilfried Capet, Yilin Yang, Alice Dufour, Florent Pinget, Hovnatan Avédikian","Nour is a pleasant and funny person who works as an accountant at a fitness center in Paris. Everybody likes her, but she has no luck in her romantic endeavours because she is overweight ...",5.0,330,,,,,,1.0
tt9373234,Laal Kabootar,Laal Kabootar,2019,2019-03-22,"Crime, Thriller",102,Pakistan,Urdu,Kamal Khan,Ali Abbas Naqvi,Nehr Ghar Films,"Mansha Pasha, Ahmed Ali Akbar, Rashid Farooqi, Ali Kazmi, Saleem Mairaj, I.R. Omar",He's looking for a way out of the city. But his only escape is through a woman looking for revenge.,7.8,521,,,,,37.0,9.0
tt9376172,The Least of These: The Graham Staines Story,The Least of These: The Graham Staines Story,2019,2019-03-29,Drama,112,USA,English,Aneesh Daniel,Andrew E. Matthews,Skypass Entertainment,"Sharman Joshi, Stephen Baldwin, Shari Rigby, Manoj Mishra, Prakash Belawadi, Anusuya, Aditi Chengappa, Aneesh Daniel, Phani Eggone, Campbell Ellis, Emily Ellis, Isaac Ellis, Aishwarya Iyer, Krishna Chaithanya Joshi, Jyotsna","In India, a journalist investigates whether or not an Australian missionary is performing illegal conversions on the local townspeople.",6.3,742,,$ 607015,$ 695164,,211.0,3.0
